filename,title,type
Gurupoojai02.mp4,Gurupoojai02,video
LakshmiAshtotharam.json,LakshmiAshtotharam,text
Ayyanar01.jpeg,Ayyanar01,image
Avahanam01.ogg,Avahanam 01,audio
Avahanam02.ogg,Avahanam 02,audio
Bajan01-Hari.ogg,Bajan 01 - Hari,audio
Bajan02-Alai.ogg,Bajan 02 - Alai,audio
Bajan03-Daya.ogg,Bajan 03 - Daya,audio
Bajan04-Gaja.ogg,Bajan 04 - Gaja,audio
Bajan05-Vani.ogg,Bajan 05 - Vani,audio
Bajan06-Muruga.ogg,Bajan 06 - Muruga,audio
Bajan07-Siva.ogg,Bajan 07 - Siva,audio
Bajan08-Srichkra.ogg,Bajan 08 - Srichkra,audio
Bajan09-Hari.ogg,Bajan 09 - Hari,audio
Bajan10-Ramana.ogg,Bajan 10 - Ramana,audio
Bajan11-Madan.ogg,Bajan 11 - Madan,audio
Bajan12-Iyyappa.ogg,Bajan 12 - Iyyappa,audio
Bajan13-Bhavani.ogg,Bajan 13 - Bhavani,audio
Bajan14-Kallanalum.ogg,Bajan 14 - Kallanalum,audio
ChulumVinauthan.ogg,Chulum Vinauthan,audio
Vethala01.ogg,Vethala 01,audio
ghosam01.ogg,Ghosam 01,audio
ghosam02.ogg,Ghosam 02,audio
ghosam03.ogg,Ghosam 03,audio
ghosam04.ogg,Ghosam 04,audio
ghosam05.ogg,Ghosam 05,audio
ghosam06.ogg,Ghosam 06,audio
ghosam07.ogg,Ghosam 07,audio
ghosam08.ogg,Ghosam 08,audio
ghosam09.ogg,Ghosam 09,audio
ghosam10.ogg,Ghosam 10,audio
ghosam11.ogg,Ghosam 11,audio
ghosam12.ogg,Ghosam 12,audio
ghosam13.ogg,Ghosam 13,audio
